ARGs	Risk_score
multidrug__MexD	0.073180863
beta_lactam__SGM-6	0.072912735
beta_lactam__OXA-551	0.072427011
bacitracin__bcrA	0.072190357
tetracycline__tetA(P)	0.070170641
chloramphenicol__catB10	0.069532371
macrolide-lincosamide-streptogramin__mef(C)	0.06849866
beta_lactam__OXA-23	0.068376277
aminoglycoside__aad(6)	0.066416384
multidrug__mexQ	0.066275952
aminoglycoside__aadS	0.065366061
beta_lactam__OXA-284	0.06418203
multidrug__mdtG	0.063379751
multidrug__Klebsiella_pneumoniae_KpnE	0.063264604
multidrug__acrF	0.062778195
tetracycline__tet(30)	0.062258701
multidrug__mdtK	0.060953365
multidrug__tolC	0.055519001
chloramphenicol__Agrobacterium_fabrum_chloramphenicol_acetyltransferase	0.052908519
multidrug__Pseudomonas_aeruginosa_CpxR	0.052785117
aminoglycoside__ANT(4')-Ib	0.052724402
macrolide-lincosamide-streptogramin__lnu(H)	0.052684121
beta_lactam__MOX-7	0.050525965
beta_lactam__Chryseobacterium_meningosepticum_BlaB	0.048437295
multidrug__RanA	0.046796681
tetracycline__tetX2	0.043310975
trimethoprim__DfrB9	0.040202411
streptothricin__SAT-4	0.038257503
beta_lactam__OXA-444	0.035803963
multidrug__mdtH	0.035662329
beta_lactam__RSD2-2	0.035280601
chloramphenicol__catB9	0.034834022
multidrug__YajC	0.034703278
multidrug__ramA	0.033108061
tetracycline__tet(36)	0.033081218
fosfomycin__FosA	0.032645328
beta_lactam__CAU-1	0.030265191
multidrug__H-NS	0.029410148
beta_lactam__OXA-347	0.029152783
multidrug__MexE	0.028015822
beta_lactam__cphA2	0.026615243
macrolide-lincosamide-streptogramin__erm(G)	0.026395731
bacitracin__bacA	0.025149365
macrolide-lincosamide-streptogramin__ere(D)	0.023989488
beta_lactam__OXA-22	0.023862866
beta_lactam__OXA-12	0.02245674
multidrug__ceoB	0.02177475
beta_lactam__MOX-9	0.018995214
beta_lactam__L1_beta-lactamase	0.018611723
beta_lactam__OXA-296	0.017589127
fosfomycin__Acinetobacter_baumannii_AbaF	0.016970154
macrolide-lincosamide-streptogramin__lnu(C)	0.016577125
vancomycin__vanRO	0.015918348
polymyxin__ugd	0.015878625
polymyxin__pmrF	0.015050556
beta_lactam__OXA-427	0.01493525
aminoglycoside__kdpE	0.014660397
multidrug__cpxA	0.014583385
multidrug__baeR	0.014534911
multidrug__OprM	0.014248342
multidrug__Acinetobacter_baumannii_AmvA	0.013831492
other_peptide_antibiotics__microcin_efflux_pumu_gene_yojI	0.013432497
beta_lactam__SGM-1	0.013227264
rifamycin__arr-1	0.013170928
macrolide-lincosamide-streptogramin__lnu(D)	0.013169476
multidrug__emrB	0.012923371
rifamycin__RbpA	0.010695193
beta_lactam__CGA-1	0.010502103
kasugamycin__kasugamycin_resistance_protein_ksgA	0.010070117
multidrug__adeI	0.010032599
quinolone__lfrA	0.008531682
tetracycline__tet(35)	0.008417167
multidrug__Escherichia_coli_mdfA	0.007686481
multidrug__adeR	0.006843777
multidrug__tap	0.006454453
multidrug__mtrA	0.005787768
multidrug__emrD	0.00576649
multidrug__msbA	0.005283481
tetracycline__tet(Q)	0.001208396
multidrug__RanB	0.000658086
